collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,,{'spotify': 'https://open.spotify.com/playlist/1ti3v0lLrJ4KhSTuxt4loZ'},https://api.spotify.com/v1/playlists/1ti3v0lLrJ4KhSTuxt4loZ,1ti3v0lLrJ4KhSTuxt4loZ,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d00001e0223290120a609a65e14cfe018ab67616d00001e0243058ea096fa35ac33c43587ab67616d00001e0249e6168f69625252689c2526ab67616d00001e02ce4f1737bc8a646c8c4bd25a', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d00001e0223290120a609a65e14cfe018ab67616d00001e0243058ea096fa35ac33c43587ab67616d00001e0249e6168f69625252689c2526ab67616d00001e02ce4f1737bc8a646c8c4bd25a', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d00001e0223290120a609a65e14cfe018ab67616d00001e0243058ea096fa35ac33c43587ab67616d00001e0249e6168f69625252689c2526ab67616d00001e02ce4f1737bc8a646c8c4bd25a', 'width': 60}]",Top Classic Rock Hits Of All Time,"{'display_name': 'Tom Schumacher', 'external_urls': {'spotify': 'https://open.spotify.com/user/12162444321'}, 'href': 'https://api.spotify.com/v1/users/12162444321', 'id': '12162444321', 'type': 'user', 'uri': 'spotify:user:12162444321'}",,True,AAAJpdmSacBpc/INNQyhjASGIlpo3JJY,"{'href': 'https://api.spotify.com/v1/playlists/1ti3v0lLrJ4KhSTuxt4loZ/tracks', 'total': 716}",playlist,spotify:playlist:1ti3v0lLrJ4KhSTuxt4loZ
False,Grandes Éxitos del Rock en Español: Caifanes - Maná - Héroes del Silencio - Soda Estereo - Hombres G 🎙️🎸🥁🤟😎,{'spotify': 'https://open.spotify.com/playlist/48q4hYGbrjk8Gug1VOk6es'},https://api.spotify.com/v1/playlists/48q4hYGbrjk8Gug1VOk6es,48q4hYGbrjk8Gug1VOk6es,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c4067eb0f334f8420b7f433fe', 'width': None}]",Rock En Español - Lo Mejor del Rock En Español 😎🎸,"{'display_name': 'José Eduardo Serrano', 'external_urls': {'spotify': 'https://open.spotify.com/user/j.serrano.buendia'}, 'href': 'https://api.spotify.com/v1/users/j.serrano.buendia', 'id': 'j.serrano.buendia', 'type': 'user', 'uri': 'spotify:user:j.serrano.buendia'}",,True,AAAEZwuAzMdQVB7KvDM0cdtCTUyDyoZK,"{'href': 'https://api.spotify.com/v1/playlists/48q4hYGbrjk8Gug1VOk6es/tracks', 'total': 121}",playlist,spotify:playlist:48q4hYGbrjk8Gug1VOk6es
False,,{'spotify': 'https://open.spotify.com/playlist/5Z6J7jqK6oF7upv8KhZuds'},https://api.spotify.com/v1/playlists/5Z6J7jqK6oF7upv8KhZuds,5Z6J7jqK6oF7upv8KhZuds,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d00001e02017ed8a01b6648a9d1fe2f58ab67616d00001e0208aef4057b0b7b2a3405b39fab67616d00001e0258cb4a7703f916ff5b3318dfab67616d00001e02b49b1b486de0d62e8b4cade3', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d00001e02017ed8a01b6648a9d1fe2f58ab67616d00001e0208aef4057b0b7b2a3405b39fab67616d00001e0258cb4a7703f916ff5b3318dfab67616d00001e02b49b1b486de0d62e8b4cade3', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d00001e02017ed8a01b6648a9d1fe2f58ab67616d00001e0208aef4057b0b7b2a3405b39fab67616d00001e0258cb4a7703f916ff5b3318dfab67616d00001e02b49b1b486de0d62e8b4cade3', 'width': 60}]",Clásicos del Rock en Español 80's y 90's Top 100,"{'display_name': 'Dianapaolasantiagogalindo', 'external_urls': {'spotify': 'https://open.spotify.com/user/31j3eel7rpwiv6rkcv2feurbfixq'}, 'href': 'https://api.spotify.com/v1/users/31j3eel7rpwiv6rkcv2feurbfixq', 'id': '31j3eel7rpwiv6rkcv2feurbfixq', 'type': 'user', 'uri': 'spotify:user:31j3eel7rpwiv6rkcv2feurbfixq'}",,True,AAAAAgXMEDZpAiKCgRqa7DpWtin0KUc9,"{'href': 'https://api.spotify.com/v1/playlists/5Z6J7jqK6oF7upv8KhZuds/tracks', 'total': 126}",playlist,spotify:playlist:5Z6J7jqK6oF7upv8KhZuds
False,,{'spotify': 'https://open.spotify.com/playlist/6mnDHDzomspXDCRKsSMegk'},https://api.spotify.com/v1/playlists/6mnDHDzomspXDCRKsSMegk,6mnDHDzomspXDCRKsSMegk,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d00001e027028981d09d2e5833c9c78adab67616d00001e02de2a7bf50b6f6c7a1e7e0deeab67616d00001e02e175a19e530c898d167d39bfab67616d00001e02fb995d2871f084b34afae3b3', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d00001e027028981d09d2e5833c9c78adab67616d00001e02de2a7bf50b6f6c7a1e7e0deeab67616d00001e02e175a19e530c898d167d39bfab67616d00001e02fb995d2871f084b34afae3b3', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d00001e027028981d09d2e5833c9c78adab67616d00001e02de2a7bf50b6f6c7a1e7e0deeab67616d00001e02e175a19e530c898d167d39bfab67616d00001e02fb995d2871f084b34afae3b3', 'width': 60}]",Best Hype Rock Songs,"{'display_name': 'Shey Lester', 'external_urls': {'spotify': 'https://open.spotify.com/user/12147049766'}, 'href': 'https://api.spotify.com/v1/users/12147049766', 'id': '12147049766', 'type': 'user', 'uri': 'spotify:user:12147049766'}",,True,AAAAP9RLuoZGTGllSJt0beDw5fecR+3n,"{'href': 'https://api.spotify.com/v1/playlists/6mnDHDzomspXDCRKsSMegk/tracks', 'total': 53}",playlist,spotify:playlist:6mnDHDzomspXDCRKsSMegk
False,"One hour on top of the best music from the Rocky movies. Trying hard now, it’s so hard now. Trying hard now, getting strong now. Won’t be long now. Getting strong now, gonna fly now. Flying high now, gonna fly, fly, fly!",{'spotify': 'https://open.spotify.com/playlist/6pnjjHaIuQ1HqB9tIoCMay'},https://api.spotify.com/v1/playlists/6pnjjHaIuQ1HqB9tIoCMay,6pnjjHaIuQ1HqB9tIoCMay,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000d72ca33193b5e78c6cc9033b440f', 'width': None}]",Rocky Training,"{'display_name': 'ALF', 'external_urls': {'spotify': 'https://open.spotify.com/user/q9ae9nmi41a4z8xee9walxx69'}, 'href': 'https://api.spotify.com/v1/users/q9ae9nmi41a4z8xee9walxx69', 'id': 'q9ae9nmi41a4z8xee9walxx69', 'type': 'user', 'uri': 'spotify:user:q9ae9nmi41a4z8xee9walxx69'}",,True,AAABP9jvotHtDzwSOdUHDlvrQdhCFoV2,"{'href': 'https://api.spotify.com/v1/playlists/6pnjjHaIuQ1HqB9tIoCMay/tracks', 'total': 17}",playlist,spotify:playlist:6pnjjHaIuQ1HqB9tIoCMay
False,best country music of 2025 most popular trending today modern mix viral top 100 hottest contemporary country pop rock latest americana ⚠️ NO SOCIAL MEDIA ACCOUNTS ASSOCIATED WITH THIS PROFILE. BEWARE OF SCAMS!,{'spotify': 'https://open.spotify.com/playlist/4Jb4PDWREzNnbZcOHPcZPy'},https://api.spotify.com/v1/playlists/4Jb4PDWREzNnbZcOHPcZPy,4Jb4PDWREzNnbZcOHPcZPy,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c8c8afccecd02d63d920f4c97', 'width': None}]",COUNTRY HITS 2025 🔥 New Country Songs + Top Hits,"{'display_name': 'Spot', 'external_urls': {'spotify': 'https://open.spotify.com/user/31heeg5wrzm67nrgtehxz23z2mmq'}, 'href': 'https://api.spotify.com/v1/users/31heeg5wrzm67nrgtehxz23z2mmq', 'id': '31heeg5wrzm67nrgtehxz23z2mmq', 'type': 'user', 'uri': 'spotify:user:31heeg5wrzm67nrgtehxz23z2mmq'}",,True,AAAGxdvGww1xNQhahxeH+jmdjiuFEak1,"{'href': 'https://api.spotify.com/v1/playlists/4Jb4PDWREzNnbZcOHPcZPy/tracks', 'total': 109}",playlist,spotify:playlist:4Jb4PDWREzNnbZcOHPcZPy
False,The Top 100 Soothing Lullaby Melodies - Calm and gentle lullabies to help rock your baby to sleep. (Little Rainbow Playlists 2025),{'spotify': 'https://open.spotify.com/playlist/6XMhvUe2OfARE6iEjhx96k'},https://api.spotify.com/v1/playlists/6XMhvUe2OfARE6iEjhx96k,6XMhvUe2OfARE6iEjhx96k,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c18078def5ecd6c633a55b2f1', 'width': None}]",Lullabies for Baby Sleep 2025 💤 🧸😴,"{'display_name': 'Little Rainbow', 'external_urls': {'spotify': 'https://open.spotify.com/user/kgnndhi5ad56st5rp5undloei'}, 'href': 'https://api.spotify.com/v1/users/kgnndhi5ad56st5rp5undloei', 'id': 'kgnndhi5ad56st5rp5undloei', 'type': 'user', 'uri': 'spotify:user:kgnndhi5ad56st5rp5undloei'}",,True,AAAGrsk/xZNV0tuSMz/uBAH9xDKLfVXv,"{'href': 'https://api.spotify.com/v1/playlists/6XMhvUe2OfARE6iEjhx96k/tracks', 'total': 100}",playlist,spotify:playlist:6XMhvUe2OfARE6iEjhx96k
False,This playlist is dedicated to divorced dads and daughters who had to listen to this on the way to swim practice,{'spotify': 'https://open.spotify.com/playlist/1Kgkkup7w9qvGxGJGa75PS'},https://api.spotify.com/v1/playlists/1Kgkkup7w9qvGxGJGa75PS,1Kgkkup7w9qvGxGJGa75PS,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b2da1ede95a885fe770ac31c', 'width': None}]",Divorced Dad Rock: BANGERZ,"{'display_name': 'Kelly Parisi', 'external_urls': {'spotify': 'https://open.spotify.com/user/k.e.parisi'}, 'href': 'https://api.spotify.com/v1/users/k.e.parisi', 'id': 'k.e.parisi', 'type': 'user', 'uri': 'spotify:user:k.e.parisi'}",,True,AAABCQx+eSxiY27HOtEn9BxRSiQ9ql3+,"{'href': 'https://api.spotify.com/v1/playlists/1Kgkkup7w9qvGxGJGa75PS/tracks', 'total': 96}",playlist,spotify:playlist:1Kgkkup7w9qvGxGJGa75PS
False,Best Pop Hits,{'spotify': 'https://open.spotify.com/playlist/34NbomaTu7YuOYnky8nLXL'},https://api.spotify.com/v1/playlists/34NbomaTu7YuOYnky8nLXL,34NbomaTu7YuOYnky8nLXL,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d00001e027e0698e1398b6473de43f901ab67616d00001e0282ea2e9e1858aa012c57cd45ab67616d00001e029a336bfb6d40bbd90a507417ab67616d00001e02fa2bcf3df669bde08b2e7d36', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d00001e027e0698e1398b6473de43f901ab67616d00001e0282ea2e9e1858aa012c57cd45ab67616d00001e029a336bfb6d40bbd90a507417ab67616d00001e02fa2bcf3df669bde08b2e7d36', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d00001e027e0698e1398b6473de43f901ab67616d00001e0282ea2e9e1858aa012c57cd45ab67616d00001e029a336bfb6d40bbd90a507417ab67616d00001e02fa2bcf3df669bde08b2e7d36', 'width': 60}]",Pop Hits 2025 (Top 50),"{'display_name': 'TylerLife', 'external_urls': {'spotify': 'https://open.spotify.com/user/313odiyd72vqxinsh4grr4wqqfpa'}, 'href': 'https://api.spotify.com/v1/users/313odiyd72vqxinsh4grr4wqqfpa', 'id': '313odiyd72vqxinsh4grr4wqqfpa', 'type': 'user', 'uri': 'spotify:user:313odiyd72vqxinsh4grr4wqqfpa'}",,True,AAABAfGlurpu5zi4bSHqq91oh+b9b5i1,"{'href': 'https://api.spotify.com/v1/playlists/34NbomaTu7YuOYnky8nLXL/tracks', 'total': 56}",playlist,spotify:playlist:34NbomaTu7YuOYnky8nLXL
False,best top radio pop hits,{'spotify': 'https://open.spotify.com/playlist/1WH6WVBwPBz35ZbWsgCpgr'},https://api.spotify.com/v1/playlists/1WH6WVBwPBz35ZbWsgCpgr,1WH6WVBwPBz35ZbWsgCpgr,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d00001e0220e08c8cc23f404d723b5647ab67616d00001e024718e2b124f79258be7bc452ab67616d00001e029478c87599550dd73bfa7e02ab67616d00001e02d0bbfea6226b5c3707de92ed', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d00001e0220e08c8cc23f404d723b5647ab67616d00001e024718e2b124f79258be7bc452ab67616d00001e029478c87599550dd73bfa7e02ab67616d00001e02d0bbfea6226b5c3707de92ed', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d00001e0220e08c8cc23f404d723b5647ab67616d00001e024718e2b124f79258be7bc452ab67616d00001e029478c87599550dd73bfa7e02ab67616d00001e02d0bbfea6226b5c3707de92ed', 'width': 60}]",Top Pop Hits 2015-2025,"{'display_name': 'desmondd_', 'external_urls': {'spotify': 'https://open.spotify.com/user/namelesszr'}, 'href': 'https://api.spotify.com/v1/users/namelesszr', 'id': 'namelesszr', 'type': 'user', 'uri': 'spotify:user:namelesszr'}",,True,AAADZqQXkmbf1WBZpPLEfmam2lgEHCbf,"{'href': 'https://api.spotify.com/v1/playlists/1WH6WVBwPBz35ZbWsgCpgr/tracks', 'total': 668}",playlist,spotify:playlist:1WH6WVBwPBz35ZbWsgCpgr
